"","Titans","Giants","Steelers","Panthers","Ravens","Buccaneers","Colts","Vikings","Cardinals","Cowboys","Falcons","Jets","Broncos","Dolphins","Eagles","Bears","Patriots","Redskins","Packers","Chargers","Saints","Texans","Bills","Forty-Niners","Jaguars","Browns","Raiders","Chiefs","Rams","Seahawks","Bengals","Lions"
"Titans",0,1218.05967544394,757.20984380027,544.501723809348,956.614214828994,995.264429421862,403.119534745271,1121.28477627232,2337.85757172571,1019.13480056402,344.066965784831,1218.05967544394,1645.4861922566,1293.61492657059,1096.76595078347,637.536347594811,1487.94781910506,924.564754965981,933.193160726584,2795.74802811386,756.708142556799,1080.63227671002,1003.79296356932,3150.85780896881,805.918214808475,738.25965075924,3134.13335939849,750.865944787488,407.791524318082,3171.42057188562,381.430689222064,757.526326287067
"Giants",1218.05967544394,0,502.719424066342,858.625021509887,275.778517679226,1621.3116253632,1031.04851842996,1625.21497785473,3450.13175693536,2228.62079645105,1202.43739725496,0,2614.01636542762,1746.75530794025,137.141842708282,1135.23333053435,274.141928433132,318.490646610625,1213.10009399285,3894.25471234186,1882.36710609515,2289.09021817842,447.158906224935,4120.64139744673,1350.62722525828,642.570848810175,4103.88811459251,1747.05324243541,1397.00527296553,3855.18626187781,909.450746763355,764.74710613055
"Steelers",757.20984380027,502.719424066342,0,585.173053856038,317.394238444958,1405.25505883423,528.33147920437,1191.42159803906,2947.62773945951,1744.00885781738,839.042093417821,502.719424066342,2121.22378885765,1611.22056333138,416.321946093435,655.297886659169,753.534613213916,319.37347599742,798.624376337375,3392.60452716929,1480.54642592843,1837.66497156352,278.173621088389,3634.82622679629,1135.10707266065,183.987267050045,3618.02349613276,1245.2470549584,894.782066985304,3430.38618349268,412.863937367348,328.914167297993
"Panthers",544.501723809348,858.625021509887,585.173053856038,0,585.675545567854,821.117593025498,688.022828937968,1509.30575301628,2876.81039522908,1520.62822302166,363.82320317874,858.625021509887,2183.52209104255,1032.20932234773,721.725233823619,943.031815059268,1128.20734820158,541.020813871158,1199.83716849892,3335.61248368017,1043.99494912107,1496.4329933728,857.987590964263,3693.84121435582,549.970379799831,702.207488481899,3677.09352921861,1279.35660957308,911.610686622745,3669.93800241059,538.885990602057,813.510823448398
"Ravens",956.614214828994,275.778517679226,317.394238444958,585.675545567854,0,1368.75256068708,819.76795587645,1507.30791614629,3231.44491502025,1973.58667274001,926.658957948881,275.778517679226,2426.43139208346,1518.96545189707,142.642265184533,971.22846201614,549.349460806146,46.1566568260912,1109.299750099,3681.00428418656,1606.89815770811,2019.45267571526,428.977681469581,3943.61287622241,1095.38015576143,496.096404060303,3926.79122275168,1537.61219616962,1174.10780866679,3746.82271103859,680.37805062194,638.600051693352
"Buccaneers",995.264429421862,1621.3116253632,1405.25505883423,821.117593025498,1368.75256068708,0,1352.85778265693,2116.16753084327,2899.43732410445,1495.29036234469,667.872084728251,1621.3116253632,2445.75264735183,317.346728510619,1487.31359267543,1612.10762832134,1869.82077557865,1322.62038952765,1902.7581502222,3348.31666914914,769.07137447768,1270.93588530699,1679.10503401534,3848.20747195042,274.287940548303,1506.24468186384,3832.28526132676,1655.12442093176,1382.2864176441,4059.70082457276,1250.32087821323,1597.97610062927
"Colts",403.119534745271,1031.04851842996,528.33147920437,688.022828937968,819.76795587645,1352.85778265693,0,821.457309094618,2419.53093299794,1250.67257651108,685.622954534199,1031.04851842996,1609.0110584597,1630.40967633742,938.531646836483,263.796177906054,1276.56039020332,805.012895628404,549.909451379644,2865.5786289692,1147.46508435569,1401.55409978921,701.363048746888,3128.60598672251,1126.83474937196,423.722949698593,3111.77054297769,718.956726098622,368.734737216924,3005.66701225445,159.655783175609,388.105609708146
"Vikings",1121.28477627232,1625.21497785473,1191.42159803906,1509.30575301628,1507.30791614629,2116.16753084327,821.457309094618,0,2064.24945375331,1398.99059735555,1459.16749823465,1625.21497785473,1126.25023534579,2413.87805846059,1583.91264018262,571.885118809912,1795.96462904244,1510.6361214949,413.682016401453,2455.95822403575,1693.47196884679,1710.52006254878,1183.76063414535,2546.01001146742,1919.13513442487,1011.41663391551,2529.61827541799,666.542887314461,749.424040907795,2239.69148267043,972.889579940367,871.449791763815
"Cardinals",2337.85757172571,3450.13175693536,2947.62773945951,2876.81039522908,3231.44491502025,2899.43732410445,2419.53093299794,2064.24945375331,0,1413.86242298987,2571.37443546169,3450.13175693536,945.571560221073,3190.19022808878,3356.444126615,2347.49033941542,3687.47852144032,3210.65311720408,2407.23456240179,459.607722581244,2130.63834350003,1649.93912453427,3078.5856252107,1025.81678079465,2901.57133154077,2820.5838371084,1012.69288765982,1704.03281331421,2057.58407791714,1777.03659628346,2551.18275900573,2726.68430539411
"Cowboys",1019.13480056402,2228.62079645105,1744.00885781738,1520.62822302166,1973.58667274001,1495.29036234469,1250.67257651108,1398.99059735555,1413.86242298987,0,1184.75487797773,2228.62079645105,1052.92063057386,1796.52731395081,2112.10956014898,1313.37942637117,2493.46897080862,1942.88346256789,1522.07445731094,1869.75094452147,734.63774582011,376.253919382339,1950.79804699687,2354.91742199501,1487.91482313347,1672.37867292854,2339.15034021156,738.908590403793,903.324631905385,2685.51039706892,1332.52091884596,1630.53110098641
